Date,Open,High,Low,Close,Adj Close,Volume
2022-01-24,58.040001,58.709999,55.910000,57.540001,55.182335,9974200
2022-01-31,57.730000,60.619999,56.930000,59.290001,56.860626,38840300
2022-02-07,59.180000,60.660000,58.049999,58.380001,55.987915,22811300
2022-02-14,58.529999,59.990002,54.270000,55.459999,53.187553,27599000
2022-02-21,55.119999,56.750000,49.529999,54.599998,52.362789,50884500
2022-02-28,54.320000,56.439999,53.410000,55.660000,53.379356,41516800
2022-03-07,55.500000,56.459999,50.000000,50.060001,48.008816,57904800
2022-03-14,50.200001,56.669998,50.009998,56.020000,53.947243,42257000
2022-03-21,55.580002,58.049999,54.650002,57.419998,55.295441,31501600
2022-03-28,57.419998,60.389999,56.930000,57.709999,55.574707,32771300
2022-04-04,58.080002,58.369999,53.480000,55.029999,52.993866,26798000
2022-04-11,54.360001,56.230000,53.959999,54.150002,52.146431,16328400
2022-04-18,53.830002,55.860001,53.080002,53.169998,51.202690,23074900
2022-04-25,52.930000,54.049999,51.520000,51.919998,49.998940,29710600
2022-05-02,51.970001,54.490002,47.029999,48.810001,47.004013,54265300
2022-05-09,48.080002,50.919998,45.189999,46.650002,44.923935,42907900
2022-05-16,46.490002,47.119999,43.279999,44.310001,42.670517,33642800
2022-05-23,44.740002,48.830002,43.619999,48.820000,47.013641,36954100
2022-05-30,48.439999,49.299999,46.450001,47.090000,45.347656,36259600
2022-06-06,47.990002,48.759998,44.279999,44.279999,42.834652,28770000
2022-06-13,43.009998,44.049999,40.520000,42.209999,40.832222,53893700
2022-06-20,42.700001,45.779999,41.830002,45.669998,44.179279,40660600
2022-06-27,45.869999,45.939999,41.020000,42.889999,41.490021,25178600
2022-07-04,42.259998,44.959999,41.889999,43.139999,41.731865,22790100
2022-07-11,43.020000,43.959999,41.220001,43.610001,42.186520,25209800
2022-07-18,43.980000,47.369999,43.349998,46.680000,45.156311,20773100
2022-07-25,46.680000,49.730000,45.250000,48.630001,47.042664,24155900
2022-08-01,47.849998,50.820000,46.660000,47.279999,45.736725,34898200
2022-08-08,47.630001,49.520000,47.020000,49.439999,47.826221,23177300
2022-08-15,49.169998,50.169998,46.549999,47.070000,45.533581,20768500
2022-08-22,46.700001,47.209999,44.509998,44.529999,43.076492,20047800
2022-08-29,44.259998,45.459999,43.630001,44.110001,42.670197,24966800
2022-09-05,44.220001,45.160000,42.930000,45.099998,43.844887,21245200
2022-09-12,45.369999,45.849998,41.139999,42.000000,40.831161,34375300
2022-09-19,41.770000,41.869999,37.500000,38.189999,37.127190,31302900
2022-09-26,38.160000,39.099998,36.759998,36.810001,35.785599,25487500
2022-10-03,36.939999,39.630001,36.180000,37.549999,36.505001,37614000
2022-10-10,37.910000,38.459999,35.919998,37.080002,36.048084,31322300
2022-10-17,38.009998,39.320000,37.080002,38.410000,37.341068,25954700
2022-10-24,38.410000,40.630001,37.599998,40.320000,39.197914,32180400
2022-10-31,40.349998,40.930000,38.009998,40.070000,38.954876,41735500
2022-11-07,40.369999,46.990002,39.369999,46.509998,45.215649,34860300
2022-11-14,46.340000,47.130001,44.570000,45.680000,44.408752,24327400
2022-11-21,45.360001,45.779999,44.410000,45.040001,43.786560,15224500
2022-11-28,45.000000,46.090000,43.529999,45.200001,43.942112,28305700
2022-12-05,44.849998,44.919998,42.740002,43.639999,42.639843,26804400
2022-12-12,43.700001,45.860001,40.619999,41.000000,40.060345,35282400
2022-12-19,41.080002,41.500000,39.480000,40.169998,39.249367,22492400
2022-12-26,40.110001,41.919998,39.700001,41.470001,40.519577,18320400
2023-01-02,42.080002,45.450001,41.540001,45.110001,44.076153,17280200
2023-01-09,44.759998,46.799999,43.320000,46.259998,45.199795,23926400
2023-01-16,46.230000,47.400002,44.939999,46.660000,45.590630,17695000
2023-01-23,46.939999,49.700001,46.320000,49.000000,47.877003,22129200
2023-01-30,48.320000,52.230000,48.310001,50.660000,49.498955,23155600
2023-02-06,50.029999,50.400002,47.650002,48.080002,46.978092,16926900
2023-02-13,48.200001,49.660000,47.750000,48.240002,47.134418,21644400
2023-02-20,47.889999,48.810001,43.709999,45.070000,44.037071,31593700
2023-02-27,45.320000,46.310001,45.080002,46.040001,44.984840,22649400
2023-03-06,45.950001,46.099998,41.669998,42.040001,41.076515,26014300
2023-03-13,41.619999,42.310001,40.130001,42.060001,41.329502,35584500
2023-03-20,42.099998,44.090000,41.660000,42.660000,41.919079,26760900
2023-03-27,42.770000,44.419998,42.549999,44.369999,43.599380,17968700
2023-04-03,44.150002,44.630001,43.240002,43.570000,42.813274,14515000
2023-04-10,43.090000,44.160000,42.490002,43.529999,42.773968,18739700
2023-04-17,44.000000,44.400002,42.759998,43.110001,42.361267,18210000
2023-04-24,43.279999,46.669998,43.180000,46.430000,45.623604,36556500
2023-05-01,46.020000,46.349998,44.279999,45.630001,44.837502,21450000
2023-05-08,45.790001,46.380001,44.639999,44.910000,44.130005,19402400
2023-05-15,44.910000,45.480000,42.959999,43.480000,42.724838,21728700
2023-05-22,43.919998,44.549999,42.930000,44.360001,43.589558,24247400
